DATA	INICIO	TERMINO	EVENTO	ATIVIDADE	ACESSO	LOCAL	ENDEREÇO	ARTICULAÇÃO	CONTATO	latitude	longitude
25/04/2025	9h	16h	Desafio da Natureza Urbana	Saída de observação	PÚBLICO	Parque Estadual Cantareira - Núcleo Cabuçu	Av. Pedro de Souza Lopes 7903, Guarulhos, SP, 07074-000	Juliana França		-23.4429979	-46.565857
25/04/2025	9h	12h	Desafio da Natureza Urbana	Saída de observação	PÚBLICO	Parque Estadual Jaraguá	Rua Antônio Cardoso Nogueira, 539, São Paulo	 Juliana França		-23.459023	-46.75530939999999
25/04/2025	9h	11h	Desafio da Natureza Urbana	Observação e sensibilização de natureza	PÚBLICO	Parque Previdência	Rua Pedro Peccinini, 88 , São Paulo - SP, 05532-030	Marcio Moreira		-23.5791485	-46.7264135
25/04/2025	10h	11h30	Desafio da Natureza Urbana	Observação e sensibilização de natureza - Alunos Biologia USP	PÚBLICO	Matinha da Bio - USP	Rua do Matão, 277 - Cidade Universitária - Butantã, 05508-090 	Enrico e José (RBN) + EB		-23.5653415	-46.7307825
25/04/2025	14h	15h30	Desafio da Natureza Urbana	Observação e sensibilização de natureza - Alunos Biologia USP	PÚBLICO	Matinha da Bio - USP	Rua do Matão, 277 - Cidade Universitária - Butantã, 05508-090 	 Enrico e José (RBN) + EB		-23.5653415	-46.7307825
25/04/2025	09h	11h	Desafio da Natureza Urbana - Construindo um Condomínio de Insetos	Ensinar os alunos sobre a importância dos insetos para a biodiversidade urbana e como podemos ajudar a criar espaços que favoreçam sua presença e sobrevivência.	PÚBLICO	UMAPAZ Escola de Agroecologia de Parelheiros – Parque Nascente do Ribeirão Colônia	Estr. dá Colônia Mário Reimberg Christe, 2500 - Jardim Novo - Parelheiros	José Francisco Armelin (UMAPAZ)		-23.8416118	-46.7185262
25/04/2025	09h	11h	Desafio da Natureza Urbana	Identificação das Espécies na Trilha do Jequitibá	PÚBLICO	CEA Previdência – Parque Previdência	Rua Pedro Peccinini, 88 – Instituto Previdência	Juliana (UMAPAZ)		-23.5810587	-46.72699859999999
26/04/2025	7h	10h	Vem Passarinhar Sampa edição Desafio da Natureza Urbana	Atividade de observação da natureza com foco na observação de aves	PÚBLICO	Parque Municipal Leopoldina - Orlando Villas-Bôas	Av. Emb. Macedo Soares, 8000 - Vila Leopoldina, São Paulo - SP, 05307-200	Giovanni (DFS/SVMA)		-23.5185372	-46.7365055
26/04/2025	9h	12h	Desafio da Natureza Urbana	Observação de Natureza	PÚBLICO	USP	Av. Prof. Luciano Gualberto, 380 , São Paulo - SP, 05508-010	Marcio Moreira - voluntariado alunos Poli		-23.5621068	-46.72500429999999
26/04/2025	9h	12h	Desafio da Natureza Urbana	Observação e sensibilização de natureza	PÚBLICO	Parque CienTec da USP	Av. Miguel Estefano, 4200 - Vila Água Funda, São Paulo - SP, 04301-904	Luca (CienTec) + Enrico (RBN)		-23.6492671	-46.6230801
26/04/2025	18h	21h	Desafio da Natureza Urbana	Observação de Natureza	PÚBLICO	PNM Itaim	R. Amaro Alves do Rosário, 2676 - Parelheiros, São Paulo - SP, 04884-000	 Luccas Longo		-23.8120878	-46.7268368
26/04/2025	09h	11h	Desafio da Natureza Urbana	Visita Monitorada nas Trilhas do Parque Nascentes do Ribeirão Colônia	PÚBLICO	UMAPAZ Escola de Agroecologia de Parelheiros – Parque Nascente do Ribeirão Colônia	Estr. dá Colônia Mário Reimberg Christe, 2500 - Jardim Novo - Parelheiros	José Francisco Armelin (UMAPAZ)		-23.8416118	-46.7185262
27/04/2025	8h	15h	Desafio da Natureza Urbana & Dia da Anta	Observação de Natureza no Dia da Anta	PÚBLICO	RPPN Sítio Curucutu	Estrada do Capivari, Estr. do Curucutu, 13041, São Paulo - SP, 04895-090	Luccas Longo		-23.892974	-46.617341
28/04/2025	10h	11h30	Desafio da Natureza Urbana	Observação e sensibilização de natureza - Alunos Biologia USP	PÚBLICO	Matinha da Bio - USP	Rua do Matão, 277 - Cidade Universitária - Butantã, 05508-090 	Enrico e José (RBN) + EB		-23.5653415	-46.7307825
28/04/2025	14h	15h30	Desafio da Natureza Urbana	Observação e sensibilização de natureza - Alunos Biologia USP	PÚBLICO	Matinha da Bio - USP	Rua do Matão, 277 - Cidade Universitária - Butantã, 05508-090 	Enrico e José (RBN) + EB		-23.5653415	-46.7307825
28/04/2025	09h	11h	Abelhando: Observando e Registrando Abelhas - Desafio da Natureza Urbana	Sensibilizar os alunos para a importância das abelhas na polinização e promover a observação e o registro de suas interações com as plantas no ambiente urbano.	PÚBLICO	UMAPAZ Escola de Agroecologia de Parelheiros – Parque Nascente do Ribeirão Colônia	Estr. dá Colônia Mário Reimberg Christe, 2500 - Jardim Novo - Parelheiros	José Francisco Armelin (UMAPAZ)		-23.8416118	-46.7185262
28/04/2025	08h	10h	Desafio da Natureza Urbana	Atividade de observação da natureza com foco na observação de aves	PÚBLICO	Viveiro Manequinho Lopes	Av. Quarto Centenário, 1268 - Jardim Luzitania, São Paulo - SP, 04030-000	Requer inscrinção / Giovanni (DFS), Anderson e Thabata (Aventura Ambiental)		-23.5942404	-46.6628536
28/04/2025	14h	16h	Desafio da Natureza Urbana	Atividade de observação da natureza	PÚBLICO	Viveiro Manequinho Lopes	Av. Quarto Centenário, 1268 - Jardim Luzitania, São Paulo - SP, 04030-000	Requer inscrinção / Giovanni (DFS), Anderson e Thabata (Aventura Ambiental)		-23.5942404	-46.6628536
25/04/2025	8h	16h	Desafio da Natureza Urbana	Atividade de observação da natureza	PÚBLICO	Parque Estadual da Cantareira - Núcleo Cabuçu	Av. Pedro de Sousa Lopes, 7.903 - Jardim São Luís - Guarulhos - SP, 07075-170	Monitores do Parque Estadual da Cantareira		-23.4399156	-46.5657584
26/04/2025	8h	12h	Desafio da Natureza Urbana 	Atividade de observação da natureza	PÚBLICO	Instituto de Biociências da USP, Reserva do IB e Herbário da USP.	Rua do Matão, 277 - Cidade Universitária - Butantã, 05508-090 	Luiz Fernando/ Felipe		-23.5653415	-46.7307825
26/04/2025	7h30	11h	Desafio da Natureza Urbana 	Saída para observação da biodiversidade do Pq Linear Bruno Covas - Ponto de encontro: POMAR	PÚBLICO	Projeto CAPA - Centro de Apoio e Proteção Animal	Av. Magalhães De Castro, R. Pedro Avancine - Jardim Panorama, São Paulo - SP, 05679-160	Luccas Longo & Mariana Aidar/CAPA		-23.6053438	-46.6990833
27/04/2025	7h30	11h	Desafio da Natureza Urbana 	Saída para observação da biodiversidade do Pq Linear Bruno Covas - Ponto de encontro: POMAR	PÚBLICO	Projeto CAPA - Centro de Apoio e Proteção Animal	Av. Magalhães De Castro, R. Pedro Avancine - Jardim Panorama, São Paulo - SP, 05679-160	Luccas Longo & Mariana Aidar/CAPA		-23.6053438	-46.6990833
